UNOM	Адрес	Центроид (lon,lat)
71018	улица Мичуринский Проспект, Олимпийская Деревня, дом 25	[37.456694885, 55.67172785]
2117382	улица Мичуринский Проспект, Олимпийская Деревня, дом 16, корпус 1	[37.464200642, 55.671283269]
2111907	улица Мичуринский Проспект, Олимпийская Деревня, дом 4, корпус 1	[37.4703868, 55.676286704]
2111873	улица Мичуринский Проспект, Олимпийская Деревня, дом 4, корпус 2	[37.469076139, 55.675436642]
19114	улица Мичуринский Проспект, Олимпийская Деревня, дом 10	[37.465589895, 55.673918098]
2111903	улица Мичуринский Проспект, Олимпийская Деревня, дом 12, корпус 1	[37.465868757, 55.67198142]
2111911	улица Мичуринский Проспект, Олимпийская Деревня, дом 2	[37.474261162, 55.675993187]
19123	улица Мичуринский Проспект, Олимпийская Деревня, дом 19	[37.459229552, 55.67255487]
19110	улица Мичуринский Проспект, Олимпийская Деревня, дом 6	[37.467115278, 55.674764709]
19113	улица Мичуринский Проспект, Олимпийская Деревня, дом 9	[37.464156395, 55.674724927]
2116904	улица Мичуринский Проспект, Олимпийская Деревня, дом 20, корпус 1	[37.463169618, 55.670738571]
19119	улица Мичуринский Проспект, Олимпийская Деревня, дом 15	[37.461594354, 55.67328103]
19118	улица Мичуринский Проспект, Олимпийская Деревня, дом 14	[37.464276355, 55.672584592]
2111799	улица Мичуринский Проспект, Олимпийская Деревня, дом 23	[37.458328535, 55.67106333]
2111797	улица Мичуринский Проспект, Олимпийская Деревня, дом 24	[37.461189222, 55.6694448]
3102403	улица Мичуринский Проспект, Олимпийская Деревня, дом 3, корпус 1	[37.467077324, 55.677887048]
3103782	улица Мичуринский Проспект, Олимпийская Деревня, дом 19, строение 1	[37.458281342, 55.672692539]
19121	улица Мичуринский Проспект, Олимпийская Деревня, дом 17	[37.460520736, 55.672678125]
3102989	улица Мичуринский Проспект, Олимпийская Деревня, дом 10, корпус 1, строение 2	[37.46601639, 55.672844762]
2116905	улица Мичуринский Проспект, Олимпийская Деревня, дом 20, корпус 2	[37.462501754, 55.670276878]
19120	улица Мичуринский Проспект, Олимпийская Деревня, дом 16	[37.463010253, 55.672462852]
19116	улица Мичуринский Проспект, Олимпийская Деревня, дом 12	[37.464529806, 55.673308467]
3101725	улица Мичуринский Проспект, Олимпийская Деревня, дом 25, строение 1	[37.457454445, 55.671668514]
310136	улица Мичуринский Проспект, Олимпийская Деревня, дом 1, корпус 2	[37.470281697, 55.680460022]
3102995	улица Мичуринский Проспект, Олимпийская Деревня, дом 23, строение 2	[37.45869316, 55.670706918]
2132854	улица Мичуринский Проспект, Олимпийская Деревня, дом 12, строение 2	[37.466093491, 55.672189128]
19126	улица Мичуринский Проспект, Олимпийская Деревня, дом 22	[37.460423762, 55.671012505]
3100950	улица Мичуринский Проспект, Олимпийская Деревня, дом 9А	[37.464217293, 55.674142786]
3102990	улица Мичуринский Проспект, Олимпийская Деревня, дом 16, корпус 1, строение 1	[37.464152899, 55.671793318]
2117364	улица Мичуринский Проспект, Олимпийская Деревня, дом 4, корпус 3	[37.470684804, 55.67531398]
19111	улица Мичуринский Проспект, Олимпийская Деревня, дом 7	[37.464403934, 55.675450737]
1900533	улица Мичуринский Проспект, Олимпийская Деревня, дом 23, строение 1	[37.457171416, 55.670980634]
19112	улица Мичуринский Проспект, Олимпийская Деревня, дом 8	[37.466879867, 55.674031292]
3102086	улица Мичуринский Проспект, Олимпийская Деревня, владение 22А	[37.464457273, 55.669333678]
3101134	улица Мичуринский Проспект, Олимпийская Деревня, дом 4А	[37.471946331, 55.674502185]
19125	улица Мичуринский Проспект, Олимпийская Деревня, дом 21	[37.459006417, 55.671836852]
2132853	улица Мичуринский Проспект, Олимпийская Деревня, дом 12, строение 3	[37.466341982, 55.672052189]
2116912	улица Мичуринский Проспект, Олимпийская Деревня, дом 8, корпус 2	[37.467670495, 55.673183568]
3101180	улица Мичуринский Проспект, Олимпийская Деревня, дом 24-А	[37.460300582, 55.670234362]
19124	улица Мичуринский Проспект, Олимпийская Деревня, дом 20	[37.461708848, 55.671135329]
19117	улица Мичуринский Проспект, Олимпийская Деревня, дом 13	[37.461812613, 55.674008086]
2117449	улица Мичуринский Проспект, Олимпийская Деревня, дом 3	[37.467471599, 55.676386312]
19109	улица Мичуринский Проспект, Олимпийская Деревня, дом 5	[37.465687133, 55.675575122]
19122	улица Мичуринский Проспект, Олимпийская Деревня, дом 18	[37.461958402, 55.671866894]
3100951	улица Мичуринский Проспект, Олимпийская Деревня, дом 15А	[37.46164844, 55.672644942]
2116951	улица Мичуринский Проспект, Олимпийская Деревня, дом 1	[37.468901897, 55.677539411]
19115	улица Мичуринский Проспект, Олимпийская Деревня, дом 11	[37.463097423, 55.674130014]
2116911	улица Мичуринский Проспект, Олимпийская Деревня, дом 8, корпус 1	[37.468331307, 55.673628162]
2111874	улица Мичуринский Проспект, Олимпийская Деревня, дом 14, корпус 1	[37.465254445, 55.67165462]
5046002	улица Мичуринский Проспект, Олимпийская Деревня, дом 2, строение 4	[37.474134765, 55.676951434]
5046006	улица Мичуринский Проспект, Олимпийская Деревня, дом 2, строение 5	[37.471991297, 55.678258399]
5046009	улица Мичуринский Проспект, Олимпийская Деревня, дом 2, строение 3	[37.47329562, 55.675091416]
5046010	улица Мичуринский Проспект, Олимпийская Деревня, дом 2, строение 2	[37.474570038, 55.674825066]
2132851	улица Мичуринский Проспект, Олимпийская Деревня, дом 4, корпус 32	[37.476909791, 55.673437409]
310135	улица Мичуринский Проспект, Олимпийская Деревня, дом 1, корпус 1	[37.470297414, 55.679270671]
5123510	улица Мичуринский Проспект, Олимпийская Деревня, дом 10, корпус 1	[37.466414051, 55.6728469]
5214514	улица Мичуринский Проспект, Олимпийская Деревня, дом 2, строение 1	[37.475313484, 55.674323676]
5243078	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 23	[37.458269128, 55.670851564]
5046032	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 15А	[37.461651258, 55.672672016]
6002650	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 24/А	None
6014261	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 24	[37.461012146, 55.669407205]
6026915	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 20/1	None
6029706	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 12	[37.466017171, 55.672123385]
6029995	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 20/2	[37.462221697, 55.670375616]
6031757	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 8/1	[37.468246438, 55.673774325]
6032588	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 2	[37.473739964, 55.67591953]
5139125	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 4/32	[37.476866943, 55.673551027]
6060284	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 3	[37.467253953, 55.676270662]
6112397	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 11	[37.463109456, 55.67412725]
6607499	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 4	None
6619792	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 4Б	[37.469563654, 55.672944832]
6649218	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 1Д	None
6651622	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 9А	[37.464187515, 55.67412747]
6654453	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 25	[37.456783847, 55.671693813]
6657710	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 4/2	[37.469107885, 55.675446582]
6657715	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 14/1	[37.465249202, 55.671559681]
6659657	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 4/3	[37.470338539, 55.675125667]
6660079	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 8/2	[37.467442746, 55.673240978]
6660702	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 1	[37.468967513, 55.677687919]
6664425	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 25/1	[37.457475966, 55.671674958]
6665243	улица Мичуринский Проспект, Олимпийская Деревня, земельный участок 10/1/2	[37.466016334, 55.672844866]
